transaction_id,customer_id,account_number,transaction_date,posting_date,transaction_amount,currency,balance,merchant_name,transaction_type
TXN100000,CUST5000,000100000000000,2024-01-01,30/12/2023,"$1,614.55",INR,ABC123, Walmart ,REFUND 
TXN100001,CUST5001,100000000001,2024-01-02,2024-01-02,1576.06,INR,96809.39,Uber,DEBIT
TXN100002,CUST5002,100000000002,2024-01-03,2024-01-04,2657.88,EUR,94151.51,Apple Store,CREDIT
TXN100003,CUST5003,100000000003,2024-01-04,2024-01-05,2719.54,USD,91431.97,Uber,DEBIT
TXN100004,CUST5004,100000000004,2024-01-05,2024-01-05,1307.31,INR,90124.66,Netflix,REFUND
TXN100005,CUST5005,100000000005,2024-01-06,2024-01-07,854.63,INR,89270.03,Amazon,FEE
TXN100006,CUST5006,100000000006,2024-01-07,2024-01-07,3554.67,INR,85715.36,Uber,FEE
TXN100007,CUST5007,100000000007,2024-01-08,2024-01-08,1536.74,EUR,84178.62,Netflix,REFUND
TXN100008,CUST5008,100000000008,2024-01-09,2024-01-10,739.29,EUR,83439.33,Amazon,DEBIT
TXN100009,CUST5009,100000000009,2024-01-10,2024-01-11,4012.74,EUR,79426.59,Netflix,REFUND
TXN100010,CUST5010,100000000010,2024-01-11,2024-01-12,1973.55,USD,77453.04, Amazon ,REFUND
TXN100011,CUST5011,100000000011,2024-01-12,2024-01-12,1902.01,EUR,75551.03,Amazon,DEBIT
TXN100012,CUST5012,100000000012,2024-01-13,2024-01-13,2103.88,EUR,73447.15,Apple Store,DEBIT
TXN100013,CUST5013,100000000013,2024-01-14,2024-01-15,4436.55,USD,69010.6,Amazon,REFUND
TXN100014,CUST5014,100000000014,2024-01-15,2024-01-16,3692.77,EUR,65317.83,Apple Store,FEE
TXN100015,CUST5015,100000000015,2024-01-16,2024-01-16,1354.83,INR,63963.0,Starbucks,CREDIT 
TXN100016,CUST5016,100000000016,2024-01-17,2024-01-18,2962.39,INR,61000.61,Apple Store,CREDIT
TXN100017,CUST5017,100000000017,2024-01-18,2024-01-19,166.97,EUR,60833.64,Walmart,DEBIT
TXN100018,CUST5018,100000000018,2024-01-19,2024-01-19,359.19,USD,60474.45,Delta Airlines,DEBIT
TXN100019,CUST5019,100000000019,2024-01-20,2024-01-20,4787.11,USD,55687.34,Starbucks,REFUND
TXN100020,CUST5020,000100000000020,2024-01-21,2024-01-21,415.08,EUR,55272.26, Apple Store ,CREDIT
TXN100021,CUST5021,100000000021,2024-01-22,2024-01-23,4770.64,USD,50501.62,Delta Airlines,DEBIT
TXN100022,CUST5022,100000000022,2024-01-23,2024-01-24,1730.86,INR,48770.76,Netflix,DEBIT
TXN100023,CUST5023,100000000023,2024-01-24,2024-01-25,3163.92,USD,45606.84,Apple Store,FEE
TXN100024,CUST5024,100000000024,2024-01-25,2024-01-25,4249.58,EUR,41357.26,Shell Oil,REFUND
TXN100025,CUST5025,100000000025,2024-01-26,2024-01-26,"$1,659.07",INR,39698.19,Amazon,REFUND
TXN100026,CUST5026,100000000026,2024-01-27,2024-01-27,1463.21,EUR,38234.98,Uber,FEE
TXN100027,CUST5027,100000000027,2024-01-28,2024-01-29,1799.17,INR,36435.81,Uber,DEBIT
TXN100028,CUST5028,100000000028,2024-01-29,2024-01-29,3402.96,USD,33032.85,Walmart,CREDIT
TXN100029,CUST5029,100000000029,2024-01-30,2024-01-31,4508.51,USD,28524.34,Delta Airlines,REFUND
TXN100030,CUST5030,100000000030,2024-01-01,2024-01-02,488.69,INR,ABC123, Shell Oil ,CREDIT 
TXN100031,CUST5031,100000000031,2024-01-02,2024-01-03,4231.25,USD,23804.4,Starbucks,FEE
TXN100032,CUST5032,100000000032,2024-01-03,2024-01-04,167.95,USD,23636.45,Netflix,REFUND
TXN100033,CUST5033,100000000033,2024-01-04,2024-01-04,4536.15,EUR,19100.3,Uber,REFUND
TXN100034,CUST5034,100000000034,2024-01-05,2024-01-05,4431.89,USD,14668.41,Walmart,DEBIT
TXN100035,CUST5035,100000000035,2024-01-06,2024-01-06,996.02,EUR,13672.39,Apple Store,REFUND
TXN100036,CUST5036,100000000036,2024-01-07,2024-01-08,4102.67,INR,9569.72,Apple Store,REFUND
TXN100037,CUST5037,100000000037,2024-01-08,2024-01-09,2360.4,INR,7209.32,Starbucks,FEE
TXN100038,CUST5038,100000000038,2024-01-09,2024-01-10,1843.35,EUR,5365.97,Netflix,DEBIT
TXN100039,CUST5039,100000000039,2024-01-10,2024-01-11,1764.52,EUR,3601.45,Starbucks,DEBIT
TXN100040,CUST5040,000100000000040,2024-01-11,09/01/2024,1859.79,USD,1741.66, Uber ,FEE
TXN100041,CUST5041,100000000041,2024-01-12,2024-01-13,2562.63,INR,-820.97,Delta Airlines,REFUND
TXN100042,CUST5042,100000000042,2024-01-13,2024-01-14,2331.11,INR,-3152.08,Delta Airlines,FEE
TXN100043,CUST5043,100000000043,2024-01-14,2024-01-14,2899.43,INR,-6051.51,Uber,REFUND
TXN100044,CUST5044,100000000044,2024-01-15,2024-01-16,3881.67,EUR,-9933.18,Amazon,FEE
TXN100045,CUST5045,100000000045,2024-01-16,2024-01-16,4673.08,INR,-14606.26,Apple Store,REFUND 
TXN100046,CUST5046,100000000046,2024-01-17,2024-01-17,3491.45,INR,-18097.71,Netflix,FEE
TXN100047,CUST5047,100000000047,2024-01-18,2024-01-19,413.38,EUR,-18511.09,Starbucks,DEBIT
TXN100048,CUST5048,100000000048,2024-01-19,2024-01-20,4075.26,INR,-22586.35,Walmart,FEE
TXN100049,CUST5049,100000000049,2024-01-20,2024-01-21,1499.08,USD,-24085.43,Starbucks,REFUND
TXN100050,CUST5050,100000000050,2024-01-21,2024-01-21,"$2,335.36",USD,-26420.79, Walmart ,REFUND
TXN100051,CUST5051,100000000051,2024-01-22,2024-01-22,604.91,EUR,-27025.7,Walmart,DEBIT
TXN100052,CUST5052,100000000052,2024-01-23,2024-01-23,562.45,USD,-27588.15,Walmart,FEE
TXN100053,CUST5053,100000000053,2024-01-24,2024-01-25,1456.47,USD,-29044.62,Starbucks,CREDIT
TXN100054,CUST5054,100000000054,2024-01-25,2024-01-25,3376.01,INR,-32420.63,Walmart,DEBIT
TXN100055,CUST5055,100000000055,2024-01-26,2024-01-27,766.13,EUR,-33186.76,Apple Store,REFUND
TXN100056,CUST5056,100000000056,2024-01-27,2024-01-27,725.68,EUR,-33912.44,Shell Oil,REFUND
TXN100057,CUST5057,100000000057,2024-01-28,2024-01-29,1770.69,INR,-35683.13,Shell Oil,REFUND
TXN100058,CUST5058,100000000058,2024-01-29,2024-01-29,4092.64,EUR,-39775.77,Uber,REFUND
TXN100059,CUST5059,100000000059,2024-01-30,2024-01-31,3270.65,INR,-43046.42,Walmart,CREDIT
TXN100060,CUST5060,000100000000060,2024-01-01,2024-01-01,942.05,EUR,ABC123, Amazon ,REFUND 
TXN100061,CUST5061,100000000061,2024-01-02,2024-01-02,1440.31,INR,-45428.78,Netflix,REFUND
TXN100062,CUST5062,100000000062,2024-01-03,2024-01-04,3075.78,INR,-48504.56,Shell Oil,FEE
TXN100063,CUST5063,100000000063,2024-01-04,2024-01-04,2560.54,EUR,-51065.1,Apple Store,DEBIT
TXN100064,CUST5064,100000000064,2024-01-05,2024-01-06,3166.37,USD,-54231.47,Apple Store,DEBIT
TXN100065,CUST5065,100000000065,2024-01-06,2024-01-06,1270.95,INR,-55502.42,Delta Airlines,DEBIT
TXN100066,CUST5066,100000000066,2024-01-07,2024-01-08,2174.15,EUR,-57676.57,Netflix,DEBIT
TXN100067,CUST5067,100000000067,2024-01-08,2024-01-08,2814.52,EUR,-60491.09,Shell Oil,DEBIT
TXN100068,CUST5068,100000000068,2024-01-09,2024-01-09,3926.78,EUR,-64417.87,Amazon,FEE
TXN100069,CUST5069,100000000069,2024-01-10,2024-01-11,1834.76,USD,-66252.63,Apple Store,CREDIT
TXN100070,CUST5070,100000000070,2024-01-11,2024-01-12,4863.5,INR,-71116.13, Shell Oil ,DEBIT
TXN100071,CUST5071,100000000071,2024-01-12,2024-01-13,4932.09,EUR,-76048.22,Delta Airlines,DEBIT
TXN100072,CUST5072,100000000072,2024-01-13,2024-01-14,2451.49,INR,-78499.71,Uber,REFUND
TXN100073,CUST5073,100000000073,2024-01-14,2024-01-15,226.02,USD,-78725.73,Amazon,FEE
TXN100074,CUST5074,100000000074,2024-01-15,2024-01-15,4753.17,EUR,-83478.9,Starbucks,DEBIT
TXN100075,CUST5075,100000000075,2024-01-16,2024-01-16,"$2,265.58",INR,-85744.48,Starbucks,DEBIT 
TXN100076,CUST5076,100000000076,2024-01-17,2024-01-18,3020.34,EUR,-88764.82,Uber,DEBIT
TXN100077,CUST5077,100000000077,2024-01-18,2024-01-19,3603.15,EUR,-92367.97,Starbucks,REFUND
TXN100078,CUST5078,100000000078,2024-01-19,2024-01-19,3682.73,EUR,-96050.7,Amazon,REFUND
TXN100079,CUST5079,100000000079,2024-01-20,2024-01-20,2485.33,EUR,-98536.03,Uber,FEE
TXN100080,CUST5080,000100000000080,2024-01-21,19/01/2024,393.95,EUR,-98929.98, Delta Airlines ,CREDIT
TXN100081,CUST5081,100000000081,2024-01-22,2024-01-23,3738.93,EUR,-102668.91,Amazon,CREDIT
TXN100082,CUST5082,100000000082,2024-01-23,2024-01-24,3458.65,INR,-106127.56,Walmart,FEE
TXN100083,CUST5083,100000000083,2024-01-24,2024-01-24,3446.68,EUR,-109574.24,Walmart,FEE
TXN100084,CUST5084,100000000084,2024-01-25,2024-01-26,1102.38,INR,-110676.62,Uber,DEBIT
TXN100085,CUST5085,100000000085,2024-01-26,2024-01-27,1228.55,EUR,-111905.17,Delta Airlines,REFUND
TXN100086,CUST5086,100000000086,2024-01-27,2024-01-28,520.49,USD,-112425.66,Walmart,CREDIT
