transaction_id,account_number,customer_name,email,transaction_date,amount,currency,balance,status,remarks
1,94820,Customer 1,user1@test.org,12/30/2024,a972.14,USD,a8732.37,active,Processed
2,94619,Customer 2,user2@mail.com,1/4/2024,3343.02,USD,2317.72, CLOSED,Processed
3,00082079,Customer 3,user3@test.org,11/5/2024,"$4,064.71 ",USD,3564.37,active,Processed
4,40978, Customer 4 ,user4@test.org,11/5/2023,3602.64,USD,4344.8,PENDING ,Processed
5,63061,Customer 5,user5example.com,10/27/2025,1405.72,USD,8075.02, CLOSED,Processed
6,00033750,Customer 6,user6@mail.com,5/31/2023,"$1,962.84 ",EUR,1050.78,PENDING , OK 
7,24949,Customer 7,user7@mail.com,11/30/2024,1206.99,USD,1459.96,active,Processed
8,77629, Customer 8 ,user8@test.org,7/10/2023,4985.91,USD,3383,PENDING ,Processed
9,00096744,Customer 9,user9@mail.com,3/20/2025,"$4,312.15 ",INR,8978.42,PENDING ,Processed
10,54053,Customer 10,user10test.org,7/25/2024,3292.14,INR,6236.54,active,Processed
11,90334,Customer 11,user11@example.com,1/27/2025,2063.42,INR,3655.56,PENDING ,Processed
12,00045253, Customer 12 ,user12@mail.com,4/2/2024,"$3,262.36 ",INR,4570.21,PENDING , OK 
13,67235,Customer 13,user13@mail.com,5/28/2024,2177.62,USD,4059.49, CLOSED,Processed
14,31808,Customer 14,user14@mail.com,7/13/2025,2386.46,INR,1996.41, CLOSED,Processed
15,00035823,Customer 15,user15example.com,7/4/2024,"$1,390.04 ",INR,6763.47,PENDING ,Processed
16,34500, Customer 16 ,user16@test.org,14/06/2025,2403.3,EUR,5864.28, CLOSED,Processed
17,42058,Customer 17,user17@example.com,8/10/2024,318.32,EUR,9608.7,ACTIVE,Processed
18,00044210,Customer 18,user18@mail.com,5/6/2023,"$4,750.56 ",EUR,3457.46,PENDING , OK 
19,68368,Customer 19,user19@mail.com,12/12/2023,2053.88,INR,2512.8,ACTIVE,Processed
20,75176, Customer 20 ,user20mail.com,28/12/2024,3554.4,USD,4606.67,PENDING ,Processed
21,00060814,Customer 21,user21@example.com,4/4/2024,"$1,462.49 ",INR,9370.57,active,Processed
22,58720,Customer 22,user22@example.com,10/8/2024,3560.84,EUR,5888.72,PENDING ,Processed
23,44965,Customer 23,user23@example.com,2/23/2025,4461.25,USD,3962.48,PENDING ,Processed
24,00053788, Customer 24 ,user24@example.com,17/03/2024,"$4,268.24 ",EUR,3188.32,PENDING , OK 
25,70687,Customer 25,user25example.com,2/23/2024,3778.19,INR,2614.11,PENDING ,Processed
26,59480,Customer 26,user26@mail.com,3/28/2024,2241.34,INR,1171.25,active,Processed
27,00076149,Customer 27,user27@test.org,6/16/2023,"$1,219.96 ",USD,4658.23,PENDING ,Processed
28,41998, Customer 28 ,user28@mail.com,16/11/2024,4564.19,USD,5301.1,ACTIVE,Processed
29,55452,Customer 29,user29@example.com,12/16/2024,1632.78,INR,7351.39, CLOSED,Processed
30,00040830,Customer 30,user30example.com,6/8/2023,$916.37 ,INR,1049.12, CLOSED, OK 
31,57081,Customer 31,user31@test.org,2/17/2025,1021.68,USD,9933.35,PENDING ,Processed
32,33374, Customer 32 ,user32@example.com,2/7/2025,4694.53,INR,1180.13,active,Processed
33,00064641,Customer 33,user33@mail.com,1/16/2025,"$2,755.14 ",USD,9666.25, CLOSED,Processed
34,82026,Customer 34,user34@mail.com,10/15/2023,4253.06,INR,9387.44, CLOSED,Processed
35,55655,Customer 35,user35example.com,9/23/2025,1323.23,USD,8506.61,PENDING ,Processed
36,00049166, Customer 36 ,user36@mail.com,14/11/2023,"$3,824.96 ",EUR,6157.76,PENDING , OK 
37,41361,Customer 37,user37@example.com,6/10/2024,311.69,EUR,6018.97,PENDING ,Processed
38,54454,Customer 38,user38@example.com,12/27/2025,3766.86,USD,1374.6, CLOSED,Processed
39,00023322,Customer 39,user39@example.com,9/13/2025,"$3,062.48 ",INR,7725.51,PENDING ,Processed
40,73795, Customer 40 ,user40test.org,26/03/2024,2722.05,EUR,8956.54,ACTIVE,Processed
41,12866,Customer 41,user41@test.org,10/17/2023,1416.76,INR,3868.58,active,Processed
42,00035129,Customer 42,user42@mail.com,12/1/2024,"$4,662.99 ",INR,3630.72,PENDING , OK 
43,87297,Customer 43,user43@test.org,12/31/2024,1563.74,INR,4076.47,active,Processed
44,33089, Customer 44 ,user44@example.com,17/02/2025,3611.2,USD,1385.85, CLOSED,Processed
45,00072884,Customer 45,user45example.com,8/25/2024,"$4,525.19 ",EUR,6469.93,active,Processed
46,81270,Customer 46,user46@example.com,5/10/2025,1000.09,USD,3968.83, CLOSED,Processed
47,33848,Customer 47,user47@example.com,6/9/2024,2915.29,EUR,3850.31,PENDING ,Processed
48,00096278, Customer 48 ,user48@mail.com,8/9/2024,"$1,289.46 ",INR,9267.34,active, OK 
49,19575,Customer 49,user49@test.org,8/2/2024,1827.88,USD,6267.59, CLOSED,Processed
50,37884,Customer 50,user50test.org,1/16/2025,1680.01,INR,3902.28,active,Processed
51,00086730,Customer 51,user51@example.com,12/25/2023,"$1,516.91 ",INR,3130.56,ACTIVE,Processed
52,89227, Customer 52 ,user52@example.com,25/09/2023,2596.55,EUR,2553.25,ACTIVE,Processed
53,51504,Customer 53,user53@mail.com,6/1/2025,1595.15,INR,6363.71,active,Processed
54,00094390,Customer 54,user54@example.com,6/26/2024,"$1,954.01 ",INR,7323.4, CLOSED, OK 
55,19206,Customer 55,user55test.org,8/16/2024,1053.76,USD,9272.89, CLOSED,Processed
56,42249, Customer 56 ,user56@mail.com,30/04/2025,4179.51,INR,2760.71,active,Processed
57,00016126,Customer 57,user57@mail.com,10/30/2023,"$4,741.91 ",INR,7795.68, CLOSED,Processed
58,72774,Customer 58,user58@example.com,6/27/2023,343.54,EUR,6328.18,PENDING ,Processed
59,10682,Customer 59,user59@test.org,1/13/2024,4594.98,EUR,7568.72,ACTIVE,Processed
60,00064481, Customer 60 ,user60mail.com,22/07/2025,"$4,379.34 ",EUR,6109.29,PENDING , OK 
61,62068,Customer 61,user61@test.org,6/26/2024,3341.03,INR,4286.02,PENDING ,Processed
62,84974,Customer 62,user62@mail.com,5/20/2025,4139.91,INR,7291.46,ACTIVE,Processed
63,00011913,Customer 63,user63@test.org,5/5/2025,"$2,678.77 ",INR,8765.49,active,Processed
64,65484, Customer 64 ,user64@mail.com,4/10/2025,475.66,EUR,1830.94,active,Processed
65,56117,Customer 65,user65example.com,2/14/2024,1646,USD,6109.67,active,Processed
66,00015829,Customer 66,user66@example.com,4/3/2024,"$2,726.44 ",EUR,2152.65, CLOSED, OK 
67,60234,Customer 67,user67@example.com,8/22/2023,3239.4,EUR,8026.69,ACTIVE,Processed
68,30380, Customer 68 ,user68@mail.com,24/09/2024,3135.22,EUR,4405.51,active,Processed
69,00099881,Customer 69,user69@test.org,4/1/2024,"$1,986.84 ",EUR,9552.9,active,Processed
70,27382,Customer 70,user70test.org,8/18/2023,4670.35,USD,9220.03,active,Processed
71,81235,Customer 71,user71@test.org,10/5/2025,3400,USD,1019.89,ACTIVE,Processed
72,00086964, Customer 72 ,user72@test.org,11/6/2025,"$1,048.47 ",EUR,5615.09,PENDING , OK 
73,78854,Customer 73,user73@mail.com,10/16/2024,3449.45,USD,2872.97, CLOSED,Processed
74,46511,Customer 74,user74@mail.com,10/15/2024,3439.46,EUR,8606.07,ACTIVE,Processed
75,00077482,Customer 75,user75test.org,2/6/2024,"$4,952.72 ",INR,8873.74, CLOSED,Processed
76,18486, Customer 76 ,user76@test.org,7/9/2023,1751.08,USD,5872.35,active,Processed
77,66403,Customer 77,user77@test.org,3/12/2025,4990.74,EUR,9352.9,PENDING ,Processed
78,00039643,Customer 78,user78@test.org,9/29/2023,"$1,477.40 ",USD,1126.49, CLOSED, OK 
79,27374,Customer 79,user79@example.com,8/25/2023,3689.52,USD,7507.72, CLOSED,Processed
80,47983, Customer 80 ,user80test.org,31/01/2024,2641.34,USD,3987.42, CLOSED,Processed
81,00013563,Customer 81,user81@mail.com,11/25/2024,"$1,369.79 ",EUR,9973.68,active,Processed
82,95850,Customer 82,user82@mail.com,11/7/2023,725.08,INR,5131.36,active,Processed
83,12256,Customer 83,user83@test.org,1/25/2025,3270.55,INR,2040.28,active,Processed
84,00036507, Customer 84 ,user84@mail.com,24/06/2023,"$2,862.23 ",USD,1443.14, CLOSED, OK 
85,33091,Customer 85,user85test.org,4/7/2025,3019.84,INR,1985.09, CLOSED,Processed
86,64432,Customer 86,user86@mail.com,6/19/2024,4148.25,INR,4426.78,active,Processed
87,00098423,Customer 87,user87@mail.com,8/17/2023,"$1,582.49 ",INR,1192.5, CLOSED,Processed
88,43855, Customer 88 ,user88@test.org,6/8/2024,1144.98,INR,8746.18,PENDING ,Processed
89,30087,Customer 89,user89@test.org,10/13/2023,4331.82,USD,2766.34,ACTIVE,Processed
90,00066813,Customer 90,user90example.com,10/21/2025,$312.66 ,INR,7884.38,ACTIVE, OK 
91,46264,Customer 91,user91@example.com,11/11/2024,4739.98,USD,6159.87,PENDING ,Processed
92,21638, Customer 92 ,user92@test.org,18/05/2025,1011.95,EUR,5048.5,ACTIVE,Processed
93,00057265,Customer 93,user93@example.com,12/1/2025,$411.67 ,INR,2194.33, CLOSED,Processed
94,73419,Customer 94,user94@test.org,12/17/2025,4267.92,EUR,8737.36,active,Processed
95,66208,Customer 95,user95test.org,10/6/2023,2465.85,INR,4713.5, CLOSED,Processed
96,00094052, Customer 96 ,user96@mail.com,6/10/2024,"$1,477.38 ",USD,9784.53,active, OK 
97,87419,Customer 97,user97@mail.com,10/23/2025,3597.17,EUR,8280.5, CLOSED,Processed
98,82485,Customer 98,user98@example.com,11/9/2024,389.14,USD,5236.31,active,Processed
99,00045244,Customer 99,user99@mail.com,11/2/2023,$582.37 ,EUR,4384.6,ACTIVE,Processed
100,38092, Customer 100 ,user100example.com,29/12/2023,1952.53,EUR,6907.66,active,Processed
101,26162,Customer 101,user101@mail.com,9/25/2025,1469.51,USD,7060.6, CLOSED,Processed
102,00084114,Customer 102,user102@test.org,8/17/2025,"$1,656.98 ",USD,9149.52, CLOSED, OK 
103,89825,Customer 103,user103@mail.com,9/18/2025,2187.11,EUR,7615.06,PENDING ,Processed
104,64853, Customer 104 ,user104@mail.com,5/3/2025,2080.08,EUR,3282.04,ACTIVE,Processed
105,00087223,Customer 105,user105example.com,6/19/2025,"$1,023.06 ",USD,8198.16,PENDING ,Processed
106,13370,Customer 106,user106@example.com,2/16/2025,2985.24,USD,2428.84, CLOSED,Processed
107,79552,Customer 107,user107@example.com,3/15/2025,207.47,USD,6837.88,ACTIVE,Processed
108,00078000, Customer 108 ,user108@mail.com,15/12/2025,$913.67 ,EUR,3703.99, CLOSED, OK 
109,74356,Customer 109,user109@example.com,1/15/2026,3380.13,INR,9829.41,active,Processed
110,57366,Customer 110,user110test.org,12/14/2025,4935.29,USD,7960.16,active,Processed
111,00023527,Customer 111,user111@test.org,10/16/2023,"$2,863.46 ",EUR,2904.94,active,Processed
112,61167, Customer 112 ,user112@test.org,7/12/2025,647.92,USD,3340.68,active,Processed
113,45228,Customer 113,user113@test.org,1/8/2026,3691.99,INR,6834.86,ACTIVE,Processed
114,00023175,Customer 114,user114@test.org,8/13/2025,"$3,767.61 ",INR,3175.47,ACTIVE, OK 
115,89955,Customer 115,user115test.org,6/6/2023,4049.03,USD,4127.03,active,Processed
116,84137, Customer 116 ,user116@mail.com,2/12/2025,2227.98,USD,4993.48, CLOSED,Processed
117,00097121,Customer 117,user117@test.org,3/3/2024,"$4,856.20 ",INR,1023.55,active,Processed
118,92772,Customer 118,user118@example.com,4/29/2024,3685.56,EUR,4610.57, CLOSED,Processed
119,50840,Customer 119,user119@test.org,12/26/2023,2153.23,EUR,1912.65,ACTIVE,Processed
120,00094647, Customer 120 ,user120test.org,26/07/2024,"$1,282.52 ",EUR,9324.29, CLOSED, OK 
121,96116,Customer 121,user121@mail.com,7/14/2023,1703.22,EUR,1645.28,PENDING ,Processed
122,77162,Customer 122,user122@mail.com,8/6/2023,2067.14,INR,3031.59,ACTIVE,Processed
123,00017447,Customer 123,user123@test.org,5/5/2023,"$4,143.50 ",INR,9956.16,active,Processed
124,50615, Customer 124 ,user124@mail.com,6/8/2024,3155.65,INR,6007.7,ACTIVE,Processed
125,13487,Customer 125,user125mail.com,8/20/2024,1802.76,INR,5870.26,active,Processed
126,00032399,Customer 126,user126@example.com,1/11/2025,"$4,313.84 ",INR,9257.53,active, OK 
127,12574,Customer 127,user127@mail.com,11/11/2024,4829.98,USD,3773.46,PENDING ,Processed
128,40102, Customer 128 ,user128@test.org,12/6/2024,2245.98,EUR,6583.32,PENDING ,Processed
129,00046491,Customer 129,user129@test.org,1/15/2025,"$2,691.52 ",EUR,6490.27,ACTIVE,Processed
130,44167,Customer 130,user130mail.com,8/16/2025,328.16,EUR,7568.3, CLOSED,Processed
131,90780,Customer 131,user131@test.org,10/13/2024,3394.99,INR,7107.6, CLOSED,Processed
132,00059920, Customer 132 ,user132@mail.com,21/02/2025,$671.22 ,EUR,4843.8,ACTIVE, OK 
133,33044,Customer 133,user133@mail.com,12/26/2024,1295.97,EUR,2767.87,PENDING ,Processed
134,14422,Customer 134,user134@example.com,1/9/2025,1850.53,INR,1213.47,active,Processed
135,00022016,Customer 135,user135example.com,1/4/2026,"$1,343.56 ",INR,1432.64,active,Processed
136,21810, Customer 136 ,user136@mail.com,11/7/2023,3154.6,INR,8530.92,active,Processed
137,59064,Customer 137,user137@test.org,6/18/2025,1401.02,INR,9132.96,active,Processed
138,00095246,Customer 138,user138@mail.com,11/12/2025,"$4,002.89 ",INR,2692.44,active, OK 
139,18623,Customer 139,user139@example.com,10/6/2023,1141.45,INR,9838.96,ACTIVE,Processed
140,61106, Customer 140 ,user140example.com,15/03/2024,2237.19,INR,6955.99,PENDING ,Processed
141,00090984,Customer 141,user141@test.org,11/13/2025,"$4,806.55 ",EUR,6783.49,ACTIVE,Processed
142,69708,Customer 142,user142@mail.com,4/8/2025,3097.86,INR,6234.71,active,Processed
143,17228,Customer 143,user143@example.com,5/30/2023,1772.46,USD,7578.3,PENDING ,Processed
144,00011172, Customer 144 ,user144@mail.com,15/09/2024,"$2,052.60 ",EUR,6965.6,active, OK 
145,19373,Customer 145,user145example.com,5/26/2025,3997.77,INR,8857.64,active,Processed
146,76929,Customer 146,user146@mail.com,5/24/2024,1692.59,EUR,4624.16,active,Processed
147,00080075,Customer 147,user147@test.org,5/27/2025,"$3,022.73 ",INR,9401.55,PENDING ,Processed
148,69274, Customer 148 ,user148@mail.com,11/5/2023,4069.05,EUR,7183.59, CLOSED,Processed
149,43821,Customer 149,user149@example.com,9/23/2025,4393.39,EUR,4146.65, CLOSED,Processed
150,00013902,Customer 150,user150test.org,11/8/2024,"$4,020.44 ",INR,8216.6, CLOSED, OK 
151,32700,Customer 151,user151@test.org,8/5/2023,4701.84,EUR,7224.52,PENDING ,Processed
152,38154, Customer 152 ,user152@test.org,4/11/2024,584.02,INR,2750.13, CLOSED,Processed
153,00084849,Customer 153,user153@mail.com,10/30/2023,"$4,694.82 ",EUR,5713.93,active,Processed
154,49303,Customer 154,user154@test.org,2/6/2024,2537.79,EUR,1566.81,ACTIVE,Processed
155,51351,Customer 155,user155test.org,5/20/2023,3644.32,EUR,5036.28,PENDING ,Processed
156,00016514, Customer 156 ,user156@mail.com,11/12/2024,"$1,401.00 ",INR,1871.07,ACTIVE, OK 
157,26072,Customer 157,user157@test.org,7/31/2024,4098.4,USD,8943.61,PENDING ,Processed
158,12148,Customer 158,user158@test.org,1/25/2024,1933.64,INR,2628.9,ACTIVE,Processed
159,00022779,Customer 159,user159@mail.com,10/26/2023,"$2,193.17 ",EUR,6896.84,ACTIVE,Processed
160,14368, Customer 160 ,user160test.org,28/04/2024,1099.53,EUR,1064,active,Processed
161,60504,Customer 161,user161@example.com,10/25/2025,222.15,EUR,5628.08,active,Processed
162,00018894,Customer 162,user162@example.com,11/30/2023,"$3,322.92 ",USD,2048.66,ACTIVE, OK 
163,87474,Customer 163,user163@mail.com,1/31/2025,4819.1,INR,5108.94,ACTIVE,Processed
164,71726, Customer 164 ,user164@example.com,6/12/2023,4356.98,USD,7385.04, CLOSED,Processed
165,00062691,Customer 165,user165test.org,1/2/2024,"$2,330.71 ",USD,6223.02,PENDING ,Processed
166,94344,Customer 166,user166@example.com,11/30/2025,3112.65,INR,2014.36,active,Processed
167,33220,Customer 167,user167@example.com,7/3/2024,4000.7,USD,3894.92,PENDING ,Processed
168,00073176, Customer 168 ,user168@mail.com,5/3/2024,"$1,561.10 ",USD,6159.16, CLOSED, OK 
169,86807,Customer 169,user169@mail.com,6/20/2023,4311.09,INR,3874.8, CLOSED,Processed
170,90484,Customer 170,user170mail.com,4/1/2024,893.22,INR,6893.68,active,Processed
171,00072255,Customer 171,user171@test.org,11/11/2025,"$1,451.59 ",EUR,5746.02, CLOSED,Processed
172,14825, Customer 172 ,user172@example.com,9/11/2023,2559.78,EUR,8494.44,PENDING ,Processed
173,32101,Customer 173,user173@example.com,7/1/2024,1110.08,USD,5466.29,active,Processed
174,00027583,Customer 174,user174@test.org,8/26/2025,"$1,519.32 ",USD,6807.44, CLOSED, OK 
